hospital_id,hospital_org_id,ein,name,name_cr,street_address,city,state,zip_code,fips_state_and_county_code,hospital_bed_count,chrch_affl_f,urban_location_f,children_hospital_f,memb_counc_teach_hosps_f,medicare_provider_number,county,hospital_bed_size,updated_dt
25,21,472367677,Lakeland Community Hospital,Lakeland Community Hospital,42024 Highway 195,Haleyville,AL,35565,01133,49,Y,N,N,N,010125,Winston County,<100 beds,"November 20, 2023"
26,18,630891904,North Baldwin Infirmary,North Baldwin Infirmary,1815 Hand Avenue,Bay Minette,AL,36507,01003,78,N,Y,N,N,010129,Baldwin County,<100 beds,"November 20, 2023"
27,22,630931008,St Vincents St Clair,St Vincents St Clair,7063 Veterans Parkway,Pell City,AL,35125,01115,40,N,Y,N,N,010130,St. Clair County,<100 beds,"November 20, 2023"
28,3,630312913,Brookwood Baptist Medical Center,Brookwood Baptist Medical Center,2010 Brookwood Medical Center Drive,Birmingham,AL,35209,01073,595,N,Y,N,N,010139,Jefferson County,>299 beds,"November 20, 2023"
29,11,636000090,Jacksonville Medical Center,Jacksonville Medical Center,1701 Pelham Road South,Jacksonville,AL,36265,01015,104,N,Y,N,N,010146,Calhoun County,100-299 beds,"November 20, 2023"
30,23,203713023,Infirmary West,Infirmary West,5600 Girby Rd,Mobile,AL,36693,01097,124,N,Y,N,Y,010152,Mobile County,100-299 beds,"November 20, 2023"
31,24,472378825,Russellville Hospital,Russellville Hospital,15155 Highway 43,Russellville,AL,35653,01059,100,N,N,N,N,010158,Franklin County,100-299 beds,"November 20, 2023"
32,25,631143638,Atmore Community Hospital,Atmore Community Hospital,401 Medical Park Drive,Atmore,AL,36502,01053,49,N,N,N,N,010169,Escambia County,<100 beds,"November 20, 2023"
33,22,630931008,St Vincents Chilton,St Vincents Chilton,2030 Lay Dam Road,Clanton,AL,35045,01021,30,Y,Y,N,N,010173,Chilton County,<100 beds,"November 20, 2023"
34,26,640655993,Choctaw General Hospital,Choctaw General Hospital,401 Vanity Fair Lane,Butler,AL,36904,01023,25,N,N,N,N,011304,Choctaw County,<100 beds,"November 20, 2023"
35,13,630909073,St Vincents Blount,St Vincents Blount,150 Gilbreath Drive,Oneonta,AL,35121,01009,25,N,Y,N,N,011305,Blount County,<100 beds,"November 20, 2023"
36,8,475348597,Tanner Medical Center Alabama  Inc,Tanner Medical Center Alabama  Inc,1032 Main Street South,Wedowee,AL,36278,01111,15,N,N,N,N,011306,Randolph County,<100 beds,"November 20, 2023"
37,27,630307306,The Childrens Hospital Of Alabama,The Childrens Hospital Of Alabama,1600 7th Avenue South,Birmingham,AL,35233,01073,332,N,Y,Y,Y,013300,Jefferson County,>299 beds,"November 20, 2023"
38,28,510216586,Providence Alaska Medical Center,Providence Alaska Medical Center,3200 Providence Drive,Anchorage,AK,99519,02020,401,Y,Y,N,N,020001,Anchorage Municipality,>299 beds,"November 20, 2023"
39,29,920019395,Mat-Su Regional Med Ctr,Mat-Su Regional Med Ctr,2500 S Woodworth Loop,Palmer,AK,99645,02170,74,N,Y,N,N,020006,Matanuska-Susitna Borough,<100 beds,"November 20, 2023"
40,31,813021580,Fairbanks Memorial,Fairbanks Memorial,1650 Cowles St,Fairbanks,AK,99701,02090,162,N,Y,N,Y,020012,Fairbanks North Star Borough,100-299 beds,"November 20, 2023"
41,32,920077523,Central Peninsula General Hospital,Central Peninsula General Hospital,250 Hospital Place,Soldotna,AK,99969,02122,49,N,N,N,N,020024,Kenai Peninsula Borough,<100 beds,"November 20, 2023"
42,28,510216586,Providence Valdez Medical Center,Providence Valdez Medical Center,911 Meals Avenue,Valdez,AK,99686,02261,15,N,N,N,N,021301,Valdez-Cordova Census Area,<100 beds,"November 20, 2023"
43,28,510216586,Providence Seward Medical & Care Cen,Providence Seward Medical & Care Cen,417 1st Avenue,Seward,AK,99664,02122,6,N,N,N,N,021302,Kenai Peninsula Borough,<100 beds,"November 20, 2023"
44,33,926001607,Petersburg Medical Center,Petersburg Medical Center,103 Fram Street,Petersburg,AK,99833,02280,12,N,N,N,N,021304,,<100 beds,"November 20, 2023"
45,28,510216586,Prov Kodiak Island Medical Center,Prov Kodiak Island Medical Center,1915 E Rezanof Drive,Kodiak,AK,99615,02150,25,Y,N,N,N,021306,Kodiak Island Borough,<100 beds,"November 20, 2023"
46,34,920041461,Maniilaq Health Center,Manilaq Health Center,436 5th Avenue,Kotzebue,AK,99752,02188,17,N,N,N,N,021310,Northwest Arctic Borough,<100 beds,"November 20, 2023"
47,35,910939479,Ketchikan Medical Center,Ketchikan Medical Center,3100 Tongass Avenue,Ketchikan,AK,99901,02130,25,Y,N,N,N,021311,Ketchikan Gateway Borough,<100 beds,"November 20, 2023"
48,36,920037099,South Peninsula Hospital,South Peninsula Hospital,4300 Bartlett St,Homer,AK,99603,02122,22,N,N,N,N,021313,Kenai Peninsula Borough,<100 beds,"November 20, 2023"
49,30,450233470,Banner University Medical Center Phx,Banner University Medical Center Phx,1111 East Mcdowell Road,Phoenix,AZ,85006,04013,766,N,Y,N,Y,030002,Maricopa County,>299 beds,"November 20, 2023"
50,37,860137567,Tucson Medical Center,Tucson Medical Center,5301 E Grant Road,Tucson,AZ,85712,04019,596,N,Y,N,Y,030006,Pima County,>299 beds,"November 20, 2023"
51,38,860100882,Verde Valley Medical Center,Verde Valley Medical Center,269 South Candy Lane,Cottonwood,AZ,86326,04025,98,N,Y,N,N,030007,Yavapai County,<100 beds,"November 20, 2023"
52,39,860455920,Carondelet St  Marys Hospital,,1601 West St Marys Road,Tucson,AZ,85745,04019,400,N,Y,N,Y,030010,Pima County,>299 beds,"November 20, 2023"
53,39,860455920,Carondelet St Josephs Hospital,,350 North Wilmot Road,Tucson,AZ,85711,04019,471,N,Y,N,N,030011,Pima County,>299 beds,"November 20, 2023"
54,40,860098923,Yavapai Regional Medical Center,Yavapai Regional Medical Center,1003 Willow Creek Road,Prescott,AZ,86301,04025,218,N,Y,N,N,030012,Yavapai County,100-299 beds,"November 20, 2023"
55,41,866007596,Yuma Regional Medical Center,Yuma Regional Medical Center,2400 S Avenue A,Yuma,AZ,85364,04027,369,N,Y,N,Y,030013,Yuma County,>299 beds,"November 20, 2023"
56,43,860181654,Honorhealth John C Lincoln Med Ctr,Honorhealth John C Lincoln Med Ctr,250 East Dunlap,Phoenix,AZ,85020,04013,262,N,Y,N,Y,030014,Maricopa County,100-299 beds,"November 20, 2023"
57,30,450233470,Banner Casa Grande Medical Center,Banner Casa Grande Medical Center,1800 East Florence Blvd,Casa Grande,AZ,85122,04021,141,N,Y,N,N,030016,Pinal County,100-299 beds,"November 20, 2023"
58,45,860110232,Flagstaff Medical Center,Flagstaff Medical Center,1200 North Beaver,Flagstaff,AZ,86001,04005,264,N,Y,N,N,030023,Coconino County,100-299 beds,"November 20, 2023"
59,46,941196203,St Josephs Hospital & Medical Ctr,St Josephs Hospital & Medical Ctr,350 West Thomas Road,Phoenix,AZ,85013,04013,586,Y,Y,N,Y,030024,Maricopa County,>299 beds,"November 20, 2023"
60,30,450233470,Banner Payson Medical Center,Banner Payson Medical Center,807 S Ponderosa,Payson,AZ,85541,04007,44,N,N,N,N,030033,Gila County,<100 beds,"November 20, 2023"
61,47,815009488,Chandler Regional Medical Center,Chandler Regional Medical Center,475 South Dobson Road,Chandler,AZ,85224,04013,338,N,Y,N,N,030036,Maricopa County,>299 beds,"November 20, 2023"
62,43,860181654,Honorhealth Scottsdale Osborn Med Ct,Honorhealth Scottsdale Osborn Med Ct,7400 East Osborn Road,Scottsdale,AZ,85251,04013,341,N,Y,N,Y,030038,Maricopa County,>299 beds,"November 20, 2023"
63,48,860186064,Sierra Vista Regional Health Center Inc,,300 El Camino Real,Sierra Vista,AZ,85635,04003,88,N,Y,N,N,030043,Cochise County,<100 beds,"November 20, 2023"
64,49,942916102,Kingman Regional Medical Center,Kingman Regional Medical Center,3269 Stockton Hill Road,Kingman,AZ,86401,04015,235,N,Y,N,Y,030055,Mohave County,100-299 beds,"November 20, 2023"
65,30,450233470,Banner Boswell Medical Center,Banner Boswell Medical Center,10401 Thunderbird Blvd,Sun City,AZ,85351,04013,434,N,Y,N,Y,030061,Maricopa County,>299 beds,"November 20, 2023"
66,50,860320447,Summit Healthcare,Summit Healthcare,2200 Show Low Lake Rd,Show Low,AZ,85901,04017,101,N,N,N,N,030062,Navajo County,100-299 beds,"November 20, 2023"
67,30,450233470,Banner University Med Center Tucson,Banner University Med Center Tucson,1625 North Campbell Avenue,Tucson,AZ,85719,04019,625,N,Y,N,Y,030064,Pima County,>299 beds,"November 20, 2023"
68,30,450233470,Banner Desert Medical Center,Banner Desert Medical Center,1400 South Dobson Road,Mesa,AZ,85202,04013,595,N,Y,N,N,030065,Maricopa County,>299 beds,"November 20, 2023"
69,52,860260959,La Paz Regional Hospital,La Paz Regional Hospital,1200 West Mohave Road,Parker,AZ,85344,04012,25,N,N,N,N,030067,La Paz County,<100 beds,"November 20, 2023"
70,53,237094247,Mt Graham Regional Medical Center,Mt Graham Regional Medical Center,1600 Twentieth Avenue,Safford,AZ,85548,04009,25,N,N,N,N,030068,Graham County,<100 beds,"November 20, 2023"
71,54,043651340,Tuba City Reg Health Care Corp,Tuba City Reg Health Care Corp,Highway 264,Tuba City,AZ,86045,04005,103,N,Y,N,Y,030073,Coconino County,100-299 beds,"November 20, 2023"
72,43,860181654,Honorhealth Scottsdale Shea Med Ctr,Honorhealth Scottsdale Shea Med Ctr,9300 E Shea Blvd,Scottsdale,AZ,85260,04013,425,N,Y,N,Y,030087,Maricopa County,>299 beds,"November 20, 2023"
73,30,450233470,Banner Baywood Medical Center,Banner Baywood Medical Center,6644 Baywood Avenue,Mesa,AZ,85206,04013,359,N,Y,N,N,030088,Maricopa County,>299 beds,"November 20, 2023"
74,30,450233470,Banner Thunderbird Medical Center,Banner Thunderbird Medical Center,5555 West Thunderbird Road,Glendale,AZ,85308,04013,561,N,Y,N,N,030089,Maricopa County,>299 beds,"November 20, 2023"
75,43,860181654,Honorhealth Deer Valley Med Ctr,Honorhealth Deer Valley Med Ctr,19829 N 27th Avenue,Phoenix,AZ,85027,04013,204,N,Y,N,N,030092,Maricopa County,100-299 beds,"November 20, 2023"
76,30,450233470,Banner Del E Webb Medical Center,Banner Del E Webb Medical Center,14502 West Meeker Boulevard,Sun City West,AZ,85375,04013,394,N,Y,N,N,030093,Maricopa County,>299 beds,"November 20, 2023"
77,55,561943271,Carondelet Heart And Vascular Instit,Carondelet Heart And Vascular Instit,4888 North Stone Drive,Tucson,AZ,85704,04019,60,Y,Y,N,N,030100,Pima County,<100 beds,"November 20, 2023"
78,57,383952644,Mayo Clinic Hospital,Mayo Clinic Hospital,5777 East Mayo Blvd,Phoenix,AZ,85054,04013,280,N,Y,N,Y,030103,Maricopa County,100-299 beds,"November 20, 2023"
79,30,450233470,Banner Heart Hospital,Banner Heart Hospital,6750 East Baywood Avenue,Mesa,AZ,85206,04013,111,N,Y,N,N,030105,Maricopa County,100-299 beds,"November 20, 2023"
80,30,450233470,Banner University Med Center South,Banner University Med Center South,2800 East Ajo Way,Tucson,AZ,85713,04019,245,N,Y,N,Y,030111,Pima County,100-299 beds,"November 20, 2023"
81,46,941196203,Arizona Orthopedic Surgical Hospital,Arizona Orthopedic Surgical Hospital,2905 West Warner Road,Chandler,AZ,85225,04013,24,N,Y,N,N,030112,Maricopa County,<100 beds,"November 20, 2023"
82,30,450233470,Banner Estrella Medical Center,Banner Estrella Medical Center,9201 West Thomas Road,Phoenix,AZ,85037,04013,317,N,Y,N,Y,030115,Maricopa County,>299 beds,"November 20, 2023"
83,40,860098923,Yavapai Regional Medical Center-East Campus,,7700 East Florentine Road,Prescott Valley,AZ,86314,04025,72,N,Y,N,N,030118,Yavapai County,<100 beds,"November 20, 2023"
84,46,941196203,Mercy Gilbert Medical Center,Mercy Gilbert Medical Center,3555 S Val Vista Drive,Gilbert,AZ,85296,04013,197,Y,Y,N,N,030119,Maricopa County,100-299 beds,"November 20, 2023"
85,30,450233470,Banner Gateway Medical Center,Banner Gateway Medical Center,1900 North Highley Road,Gilbert,AZ,85234,04013,177,N,Y,N,N,030122,Maricopa County,100-299 beds,"November 20, 2023"
86,43,860181654,Honorhealth Scottsdale Thompson Peak,Honorhealth Scottsdale Thompson Peak,7400 East Thompson Peak Pkwy,Scottsdale,AZ,85255,04013,120,N,Y,N,Y,030123,Maricopa County,100-299 beds,"November 20, 2023"
87,30,450233470,Banner Ironwood Medical Center,Banner Ironwood Medical Center,37000 N Gantzel Road,Queen Creek,AZ,85140,04021,53,N,Y,N,N,030130,Pinal County,<100 beds,"November 20, 2023"
88,47,815009488,Oasis Hospital,Oasis Hospital,750 North 40th Street,Phoenix,AZ,85008,04013,64,N,Y,N,N,030131,Maricopa County,<100 beds,"November 20, 2023"
89,30,450233470,Banner Goldfield Medical Center,Banner Goldfield Medical Center,2050 W Southern Ave,Apache Junction,AZ,85120,04021,20,N,Y,N,N,030134,Pinal County,<100 beds,"November 20, 2023"
90,47,815009488,Arizona General Hospital,Arizona General Hospital,7171 S 51st Avenue,Laveen,AZ,85339,04013,16,N,Y,N,N,030136,Maricopa County,<100 beds,"November 20, 2023"
91,47,815009488,Arizona General Hospital,Arizona General Hospital,9130 E Elliot Rd,Mesa,AZ,85212,04013,50,N,Y,N,N,030139,Maricopa County,<100 beds,"November 20, 2023"
92,43,860181654,Honorhealth Sonoran Crossing Med Ctr,Honorhealth Sonoran Crossing Med Ctr,33400 North 32nd Avenue,Phoenix,AZ,85085,04013,70,N,Y,N,N,030146,Maricopa County,<100 beds,"November 20, 2023"
93,30,450233470,Banner Ocotillo Medical Center,Banner Ocotillo Medical Center,1405 S Alma School Rd,Chandler,AZ,85286,04013,94,N,Y,N,N,030147,Maricopa County,<100 beds,"November 20, 2023"
94,59,860096775,Wickenburg Community Hospital,Wickenburg Community Hospital,520 Rose Lane,Wickenburg,AZ,85390,04013,19,N,Y,N,N,031300,Maricopa County,<100 beds,"November 20, 2023"
95,60,866007695,Benson Hospital,Benson Hospital,475 S Ocotillo,Benson,AZ,85602,04003,22,N,Y,N,N,031301,Cochise County,<100 beds,"November 20, 2023"
96,61,860208451,Northern Cochise Community Hospital,Northern Cochise Community Hospital,901 W Rex Allen Drive,Willcox,AZ,85644,04003,24,N,Y,N,N,031302,Cochise County,<100 beds,"November 20, 2023"
97,62,860983474,Southeast Arizona Medical Center,Southeast Arizona Medical Center,2174 West Oak Avenue,Douglas,AZ,85607,04003,25,N,Y,N,N,031303,Cochise County,<100 beds,"November 20, 2023"
98,30,450233470,Page Hospital,Page Hospital,501 North Navajo,Page,AZ,86040,04005,25,N,Y,N,N,031304,Coconino County,<100 beds,"November 20, 2023"
99,63,237314364,Sage Memorial Hospital,Sage Memorial Hospital,Highway 264,Ganado,AZ,86505,04001,25,N,N,N,N,031309,Apache County,<100 beds,"November 20, 2023"
100,64,860107344,Winslow Memorial Hospital,Winslow Memorial Hospital,1501 N Williamson Ave,Winslow,AZ,86047,04017,25,N,N,N,N,031311,Navajo County,<100 beds,"November 20, 2023"
101,65,860334996,Copper Queen Comm Hosp,Copper Queen Comm Hosp,101 Cole Ave,Bisbee,AZ,85603,04003,14,N,Y,N,N,031312,Cochise County,<100 beds,"November 20, 2023"
102,66,860575938,Holy Cross Hospital,Carondelet Holy Cross Hospital,1171 West Target Range Road,Nogales,AZ,85621,04023,25,N,N,N,N,031313,Santa Cruz County,<100 beds,"November 20, 2023"
103,67,860732836,Cobre Valley Reg Medical Center,Cobre Valley Reg Medical Center,5880 S Hospital Drive,Globe,AZ,85501,04007,25,N,N,N,N,031314,Gila County,<100 beds,"November 20, 2023"
104,68,860171900,White Mountain Regional Hospital,White Mountain Regional Hospital,118 South Mountain Rd,Springerville,AZ,85938,04001,25,N,N,N,N,031315,Apache County,<100 beds,"November 20, 2023"
105,52,860260959,La Paz Regional Hospital,La Paz Regional Hospital,1200 Mojave Rd,Parker,AZ,85344,04012,25,N,N,N,N,031317,La Paz County,<100 beds,"November 20, 2023"
106,30,450233470,Banner Payson Medical Center,Banner Payson Medical Center,807 S Ponderosa,Payson,AZ,85541,04007,44,N,N,N,N,031318,Gila County,<100 beds,"November 20, 2023"
107,53,237094247,Mt Graham Regional Medical Center,Mt Graham Regional Medical Center,1600 Twentieth Avenue,Safford,AZ,85548,04009,25,N,N,N,N,031319,Graham County,<100 beds,"November 20, 2023"
108,69,860892673,Hacienda De Los Ninos,Hacienda De Los Ninos,233 East Thomas,Phoenix,AZ,85016,04013,15,N,Y,Y,N,033301,Maricopa County,<100 beds,"November 20, 2023"
109,70,860422559,Phoenix Childrens Hospital,Phoenix Childrens Hospital,1919 E Thomas Road,Phoenix,AZ,85016,04013,435,N,Y,Y,Y,033302,Maricopa County,>299 beds,"November 20, 2023"
110,71,473035370,Hacienda Childrens Hospital Inc,Hacienda Childrens Hospital Inc,610 W Jerome Ave,Mesa,AZ,85210,04013,24,N,Y,Y,N,033303,Maricopa County,<100 beds,"November 20, 2023"
111,72,710403278,Johnson Regional Medical Center,Johnson Regional Medical Center,1100 Poplar,Clarksville,AR,72830,05071,90,N,N,N,N,040002,Johnson County,<100 beds,"November 20, 2023"
112,73,710664687,Washington Regional Medical Center,Washington Regional Medical Center,3215 N North Hills Blvd,Fayetteville,AR,72703,05143,425,N,Y,N,Y,040004,Washington County,>299 beds,"November 20, 2023"
113,74,710236917,St Vincent Infirmary Medical Center,St Vincent Infirmary Medical Center,Two St Vincent Circle,Little Rock,AR,72205,05119,615,N,Y,N,N,040007,Pulaski County,>299 beds,"November 20, 2023"
114,75,710294390,Mercy Medical Center,Mercy Medical Center,2710 Rife Medical Lane,Rogers,AR,72758,05007,275,N,Y,N,Y,040010,Benton County,100-299 beds,"November 20, 2023"
115,76,716044543,Chambers Memorial Hospital,Chambers Memorial Hospital,719 Detroit Street,Danville,AR,72833,05149,42,N,N,N,N,040011,Yell County,<100 beds,"November 20, 2023"
116,77,710772737,White County Medical Center,White County Medical Center,3214 East Race,Searcy,AR,72143,05145,571,N,N,N,Y,040014,White County,>299 beds,"November 20, 2023"
117,78,710787860,North Arkansas Regional Medical Ctr,North Arkansas Regional Medical Ctr,620 North Main,Harrison,AR,72601,05009,174,N,N,N,N,040017,Boone County,100-299 beds,"November 20, 2023"
118,79,825426152,Baptist Health Medical Center - Vb,Baptist Health Medical Center - Vb,211 Crawford Memorial Drive,Van Buren,AR,72956,05033,103,N,Y,N,Y,040018,Crawford County,100-299 beds,"November 20, 2023"
119,80,710290019,St Bernards Medical Center,St Bernards Medical Center,225 East Jackson,Jonesboro,AR,72401,05031,378,N,Y,N,Y,040020,Craighead County,>299 beds,"November 20, 2023"
120,81,710236913,St Vincent Hot Springs,St Vincent Hot Springs,300 Werner Street,Hot Springs,AR,71913,05051,282,Y,Y,N,Y,040026,Garland County,100-299 beds,"November 20, 2023"
121,82,710561765,Baxter Regional Medical Center,Baxter Regional Medical Center,624 Hospital Drive,Mountain Home,AR,72653,05005,268,N,N,N,N,040027,Baxter County,100-299 beds,"November 20, 2023"
122,83,710249735,Conway Regional Medical Center  Inc,Conway Regional Medical Center  Inc,2302 College Avenue,Conway,AR,72034,05045,150,N,Y,N,N,040029,Faulkner County,100-299 beds,"November 20, 2023"
123,84,710236856,Baptist Health Medical Center- Nlr,Baptist Health Medical Center- Nlr,3333 Springhill Drive,North Little Rock,AR,72117,05119,225,N,Y,N,Y,040036,Pulaski County,100-299 beds,"November 20, 2023"
124,85,710230218,Arkansas Methodist Medical Center,Arkansas Methodist Medical Center,900 West Kings Highway,Paragould,AR,72450,05055,129,N,N,N,N,040039,Greene County,100-299 beds,"November 20, 2023"
125,86,710236932,Crittenden Regional Hospital,Crittenden Regional Hospital,200 Tyler St,West Memphis,AR,72303,05035,152,N,Y,N,Y,040042,Crittenden County,100-299 beds,"November 20, 2023"
126,87,273970823,Five Rivers Medical Center,Five Rivers Medical Center,2801 Medical Center Drive,Pocahontas,AR,72455,05121,50,N,N,N,N,040047,Randolph County,<100 beds,"November 20, 2023"
127,88,710766341,Ouachita County Medical Center,Ouachita County Medical Center,638 California,Camden,AR,71701,05103,98,N,N,N,N,040050,Ouachita County,<100 beds,"November 20, 2023"
128,89,352414105,Drew Memorial Hospital Inc,Drew Memorial Hospital Inc,778 Scrogin Drive,Monticello,AR,71655,05043,60,N,N,N,N,040051,Drew County,<100 beds,"November 20, 2023"
129,79,825426152,Baptist Health Medical Center - Fs,Baptist Health Medical Center - Fs,1001 Towson Avenue,Fort Smith,AR,72901,05131,492,N,Y,N,Y,040055,Sebastian County,>299 beds,"November 20, 2023"
130,90,710240352,Mercy Hospital Fort Smith,Mercy Hospital Fort Smith,7301 Rogers Avenue,Fort Smith,AR,72917,05131,360,N,Y,N,N,040062,Sebastian County,>299 beds,"November 20, 2023"
131,91,850512754,Magnolia Regional Health System  Inc,Magnolia Regional Health System  Inc,807 N Jackson,Magnolia,AR,71753,05027,70,N,N,N,N,040067,Columbia County,<100 beds,"November 20, 2023"
132,92,710329353,Jefferson Regional Medical Center,Jefferson Regional Medical Center,1600 West 40th Avenue,Pine Bluff,AR,71603,05069,300,N,Y,N,Y,040071,Jefferson County,>299 beds,"November 20, 2023"
133,93,611570855,Bhmc- Stuttgart,Bhmc- Stuttgart,1703 North  Buerkle,Stuttgart,AR,72160,05001,49,N,N,N,N,040072,Arkansas County,<100 beds,"November 20, 2023"
134,94,710769555,North Metro Medical Center,North Metro Medical Center,1400 Braden Street,Jacksonville,AR,72076,05119,113,N,Y,N,N,040074,Pulaski County,100-299 beds,"November 20, 2023"
135,84,710236856,Baptist Health Medical Center - Hsc,Baptist Health Medical Center - Hsc,1001 Schnedier Drive,Malvern,AR,72104,05059,72,N,N,N,Y,040076,Hot Spring County,<100 beds,"November 20, 2023"
136,77,710772737,Unity Health Harris Medical Center,,1205 Mclain Street,Newport,AR,72112,05067,133,N,N,N,N,040080,Jackson County,100-299 beds,"November 20, 2023"
137,96,710772959,Saline Memorial Hospital,Saline Memorial Hospital,1 Medical Park Drive,Benton,AR,72015,05125,177,N,Y,N,N,040084,Saline County,100-299 beds,"November 20, 2023"
138,84,710236856,Baptist Health Medical Center - Lr,Baptist Health Medical Center - Lr,9601 Baptist Health Drive,Little Rock,AR,72205,05119,807,N,Y,N,Y,040114,Pulaski County,>299 beds,"November 20, 2023"
139,97,261214372,Nea Baptist Memorial Hospital,Nea Baptist Memorial Hospital,4800 East Johnson Avenue,Jonesboro,AR,72401,05001,228,N,N,N,Y,040118,Arkansas County,100-299 beds,"November 20, 2023"
140,98,710411459,White River Medical Center,White River Medical Center,1710 Harrison Street,Batesville,AR,72501,05063,224,N,N,N,Y,040119,Independence County,100-299 beds,"November 20, 2023"
141,99,710246565,Leo N Levi Memorial Hospital,Leo N Levi Memorial Hospital,300 Prospect Avenue,Hot Springs,AR,71901,05051,50,N,Y,N,N,040132,Garland County,<100 beds,"November 20, 2023"
142,74,710236917,St Vincent North,St Vincent North,2215 Wildwood,Sherwood,AR,72120,05119,69,Y,Y,N,N,040137,Pulaski County,<100 beds,"November 20, 2023"
